signature,n,elements
accilnoó,3,lacónico|colación|locación
aacilmr,2,marcial|racimal
aacenorst,4,cortesana|ratonesca|costanera|canastero
abceilrs,2,birlesca|libresca
abceir,2,caribe|cibera
adelors,2,desloar|desolar
aloz,2,lazo|loza
aaegrz,2,agreza|rezaga
aceerrt,5,cerreta|carrete|recetar|tercera|certera
aamorz,3,azomar|romaza|zamora
aacer,4,areca|arcea|carea|acera
aeiinnort,2,retiniano|orinienta
aaeiprt,2,terapia|arepita
aacdeorrsz,2,descarozar|escarzador
aloss,2,sosal|salso
cloor,3,cloro|locro|color
aadeimoprr,3,premiadora|apremiador|imperadora
aagim,2,amiga|magia
aadimn,2,minada|manida
aacden,2,cadena|cenada
aaccnrrsó,2,cascarrón|carrascón
aijlo,2,alioj|alijo
aeorr,2,orear|arreo
aalrr,2,arlar|larra
aeeoqrstu,3,estoquear|estoraque|estaquero
aenrs,2,nares|serna
aacennr,2,nancear|encarna
cciortí,2,cítrico|crítico
iimos,2,misio|simio
aegilor,2,elogiar|aligero
eins,3,sine|neis|sien
aeerrst,4,traeres|retesar|esterar|serreta
aacs,3,saca|asca|casa
aaabgs,2,bagasa|gabasa
eilmno,3,melino|lemnio|mileno
agmno,2,mango|magno
aacegilnoá,2,alangiáceo|loganiácea
abelo,3,labeo|baleo|oblea
aadiops,2,piadosa|adiposa
aacdloor,3,colorada|locadora|coladora
abcnró,3,barcón|cabrón|carbón
aett,2,tate|teta
aaaccilnt,2,lactancia|catalnica
ioprs,2,rispo|priso
aceeorrst,2,secretora|corsetera
aiimnortu,2,minutario|munitoria
cciou,2,cocui|cuico
aacelor,3,acerola|ocalear|aclareo
aabelmnrtu,2,alumbrante|rumbantela
aemnorsu,2,erumnosa|numerosa
aadju,2,jauda|aduja
deiloopr,2,poliedro|polidero
aeflorr,3,florera|florear|alforre
aefin,2,naife|afine
aeiimnoprrs,2,impresionar|emprisionar
iooppr,2,propio|piropo
acdino,2,codina|nacido
aaemrrí,2,armería|ramería
aaceflrs,2,esclafar|escalfar
aeeimnrst,2,tremesina|enemistar
aaefjorrr,3,forrajear|forrajera|aferrojar
aabceelnors,2,barcelonesa|escalaborne
acceinorr,2,carnicero|correncia
aaceimst,2,camiseta|escatima
boru,2,rubo|buro
aaaelpr,2,apealar|apalear
aabelt,3,baleta|balate|abetal
delor,4,doler|lerdo|rolde|ledro
aaceinorst,3,cartesiano|censatario|estacionar
aceloqru,3,cloquera|cloquear|alcorque
aclsu,3,culas|lucas|lusca
aadoprs,5,prosada|raspado|rapsoda|aspador|pasador
aaacrtu,2,caruata|tacuara
eooprst,3,estopor|soporte|petroso
aalmru,2,maular|amular
addefino,2,fedionda|ofendida
acciorstó,2,sarcótico|acróstico
ceert,2,trece|cetre
abos,2,baso|soba
beinot,2,entibo|benito
cimostí,2,ístmico|místico
aacilnor,6,calorina|coralina|caloniar|carniola|racional|carolina
aadeimnrr,2,madrinera|enmaridar
aacdeorrt,4,redactora|recortada|cortadera|acertador
aboy,2,bayo|boya
aadelnorr,2,ladronera|ladronear
dioor,3,oidor|rodio|dorio
aaeemnprrt,2,emparentar|tempranera
aefilr,4,ferial|freila|fraile|filera
aalrt,3,altar|talar|artal
aaginost,2,agonista|santiago
aaabrrt,2,baratar|tabarra
aadiloortu,2,laudatorio|adulatorio
aaefinrru,2,rufianear|funeraria
addehinru,2,hendidura|rehundida
aaefilr,2,alarife|afielar
abceerr,3,bercera|becerra|recebar
aabdillorr,2,labradoril|brilladora
ceoorst,2,costero|escroto
aacdenrt,2,centrada|decantar
bceelor,2,cerbelo|celebro
acdou,2,dauco|cuado
accdiinrstó,2,distracción|adstricción
aaegnnorst,3,engastonar|sargentona|enangostar
acdeeimors,2,acomedirse|esmorecida
aaiprt,4,tapiar|pirata|apitar|patria
aaccehnru,2,chucanear|encauchar
aagirr,3,garria|agriar|raigar
aeinrs,2,sirena|resina
aachlot,2,atochal|talacho
aacdeimoprs,2,compiadarse|picamaderos
aenopst,3,pestano|espanto|posante
adeirst,2,diestra|diserta
arrtu,3,turra|rutar|turar
aabdlo,3,bolada|oblada|lobada
aacoprt,2,toparca|coaptar
adeinp,2,pineda|dipnea
aaegrrst,2,trasegar|estragar
aabejr,6,rebaja|jabera|jarabe|bajera|abejar|baraje
aacm,2,cama|maca
abdeil,2,belida|bielda
ilmotú,2,mútilo|último
aaemnr,4,manera|emanar|manare|manear
abinrz,2,barniz|brizna
acmor,4,morca|mocar|marco|corma
aacdemopr,2,empacador|campeador
ademor,4,demora|madero|redoma|moreda
acimnootxó,2,toxicómano|taxonómico
aoooprsv,2,pavoroso|vaporoso
aelstu,2,suelta|salute
acdeehrs,2,desechar|deshacer
aacinru,2,curiana|ucrania
aacerst,3,caraste|cerasta|estacar
aaeqruv,2,vaquera|vaquear
aeorstt,4,estrato|sotreta|trasteo|estotra
aacdmos,2,moscada|damasco
chino,3,nicho|chino|hinco
aclnou,3,coluna|culona|lucano
adeelorv,4,valedero|levadero|elevador|revelado
aabcilor,2,albarico|cabriola
ceotu,2,tueco|cueto
aacchhmu,2,machucha|muchacha
abceilos,2,sociable|belicosa
aboort,3,borato|aborto|baroto
aaelrrz,2,realzar|relazar
aabcirt,2,tabicar|cabrita
ajmoor,2,ramojo|marojo
aailllm,3,almilla|malilla|limalla
aclmoos,2,clamoso|calmoso
aacchn,2,chanca|cancha
aaaadglr,2,algadara|algarada
aacimr,4,racima|camiar|marcia|marica
acilmo,3,miloca|camilo|limaco
aabet,5,tabea|batea|beata|abate|atabe
aabdjnoo,2,bajonado|jabonado
aehir,2,hiera|heria
abors,5,sabor|bosar|sobar|sobra|sorba
abceru,4,bucera|bucear|cubera|bucare
imoos,2,omiso|osmio
aamrt,3,matar|trama|marta
aabceerrst,2,cabestrera|cabestrear
ciop,2,pico|cipo
abeellort,3,bellotera|bellotear|tolerable
acenoot,2,ceanoto|taconeo
aadel,2,aldea|aleda
aacdeinor,2,arcediano|docenaria
aaadeprt,3,paradeta|tapadera|apretada
abort,4,tobar|tabor|brota|botar
aceors,7,escora|ascreo|casero|escaro|cerosa|cosera|acores
ailpñ,2,piñal|pañil
aadnorrtu,2,turronada|tornadura
ailrtu,2,lutria|ritual
aadnort,8,tardano|tardona|tarando|tornada|nortada|tanador|tronada|atondar
aenorrt,5,tronera|tornear|tornera|nortear|rorante
aacnort,3,acontar|cantora|atranco
ademnor,4,moderna|meandro|menador|monedar
clo,2,col|clo
aaacdhrtu,2,tachadura|atruchada
acinopr,3,caprino|copinar|porcina
aadenoprs,3,personada|pensadora|padronesa
aimnrtu,3,inmutar|murtina|minutar
aaenrrv,2,veranar|envarar
adeefnors,2,defensora|fondearse
aenv,2,nave|vena
aeijlr,3,leijar|larije|elijar
ailt,2,lita|tila
aabcdeor,3,bocadear|cebadora|acebrado
aacdefin,2,facienda|fenicada
aort,7,rota|arto|otar|tora|otra|toar|rato
aelmru,2,muelar|emular
ceiopr,2,precio|perico
aciinorrt,2,catirrino|trinacrio
aceeiimmnoortt,2,amortecimiento|atormecimiento
